<HEADER>
Date	2024-11-22
Time	11:17:43
Instrument	Panoptic
ProtocolName	96-well hiPSCCM fluovolt
AssayPlateBarcode	241122_fluovolt_hiPSC-CM
Indicator	Fluovolt	Excitation	482/35	Emission	536/40	Exposure	1	Gain	250
Binning	0 x 0
NumRows	8
NumCols	12
Operator	jenkinsleeroy	Jenkins 	Leeroy
Project	BCK001
</HEADER>
<INDICATOR_DATA	Fluovolt	>
Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.043	535042.4	631499.9	562511.9	756543.6	808471.9	832094.1	755112	333065.7	325573	334790	311630.4	256235.1	611444.3	657580.7	605154.7	686950.7	706388.4	713264.9	672671.3	334528.3	345799	343508.3	329704.6	314893.4	726859.9	684284.9	694883.9	645231.1	661236.1	721286.9	671381	316733.6	325362.4	319216.3	308005	305340.8	567649.7	733753.7	582951.4	673752.3	684390.4	735069.7	681992	306984.3	309218.4	316960.4	306004.7	278510.7	628651.6	655303.1	649715	677755.4	678361.3	684104.3	657063.3	315663.6	311232.3	316495.6	314416.6	289425.7	656200	720640.7	680179.9	720851	700288	697485	726443.9	309323	312573.8	319985.6	310507.7	300367.2	790972.3	859343	859966.4	889733.9	961418	890483.1	829038.4	316016.6	322471.3	327132.4	308147.2	290099.8	824446.3	854791.4	838239.9	875557	916192.9	879467.3	838516.7	310087.6	316091.6	328305	321193.4	250444.3	
0.066	538958.6	621426.6	567378.7	752840.1	810597.4	835191	763583.3	332289.7	326142.2	330332.2	307136.3	258703.7	613408.4	656871.6	603452.1	688049.6	713242.9	711112.7	671176.9	334992.7	340230.4	350719.3	326045.3	311473	726135.7	685020.1	690075.1	652427.1	664585.6	718702.4	670011.9	309124.8	322399.7	322270.4	309841.8	300731.7	567646.4	720540.4	583080.3	675625.9	681279.6	729898.6	677197.3	308354.4	307253.2	313649.8	299175.3	278035	622616.7	660615.9	644015.7	669573.3	673612.6	685848.6	657185.6	310235.2	309483.2	318716.7	317085.4	292490.4	658409.6	717801.3	672063	718645	704849.6	704970.1	722458.6	309217.8	314381.7	318431.4	308235.7	297904.2	799417.6	849965.9	866691.9	895922.1	968623.7	882600.1	834989	316762.2	322068.6	322820.8	310373.3	286537.7	826711.1	860206.6	832508	861119.9	932362	878004.6	836104.9	309478.4	319639.8	328602.2	318594.7	249107	
0.087	537387.9	618836.7	567776.3	750188.6	809022.6	841084.1	769551.7	333963.8	329545.3	332083.8	307201.4	254768.4	614660.7	665731.1	603742.1	678911.6	714882	713087.7	672604.7	336200.2	339752.7	346555.7	321122.7	312101.2	727140.9	682890.9	684130	651154	661176.3	713817.9	671691.1	315452.7	321065.7	321942.4	310251.3	299686.4	567126.7	713940.3	576343.7	670158	689537.4	726967	675560.4	305073.6	306814.3	316924.8	303796.8	278524.6	628655.1	662693.3	648734.6	676545.3	680864.4	684355.4	652057.6	316039.7	312199	320427.3	316643.7	290786.6	651568.7	712731.1	674471.4	724057.3	699731.6	702554.7	724296.3	305763	310908.2	321667.4	310250.3	301453.4	792101.1	850467.3	866619.9	886445	964522.9	886420.6	827542.4	318600.4	320955.4	323638.6	303304.2	280430.2	828148.7	849188.6	832360.4	865359	925833.1	878532.9	840060.9	312086.3	319157.2	328329.7	320521.4	252339.3	
0.106	528765.3	619265.3	565579.3	746745.1	802058.3	841461.1	767108.4	334406.2	324142.2	333298	311088.2	254457.9	617142	661613.9	599169.7	683906	708023.1	719410.7	671265.1	331067.6	344540.3	344526.8	325476.3	312747.2	716461.3	687282.6	677254.7	654759.6	661573.9	722980.9	669464.3	310940.7	316441.3	317029.4	309043.2	301061.2	559978.4	704563.1	576499	669871.6	687387.9	731951.4	675894	309419.4	304899.6	308830.8	305307.3	276907.6	636260.7	656429.4	643545.4	671647.1	680708.1	682863.9	647653.4	314603.8	312925.8	318729.2	315193.3	287964	659566	718186.7	673849.6	714146.6	698724.6	697942	720410.9	310186.2	311333.8	321597.2	311531	296580.7	791945.9	859263.1	862850.9	886938.7	953274.1	883750.4	825560.9	315867.7	320541.3	325513.2	310259.3	289136.7	829524.9	855250.7	833351.6	870083.3	928583.4	878593.4	840484.7	306900.3	311126.7	329688.7	320331.3	249841.3	
0.127	537891.9	616555.1	562912.7	761439.9	805872.3	842291.9	764573.3	332075.4	327590.3	331734	310180.8	254953.3	607723.3	657937.4	602842.9	685655	714786.6	711486.3	662710.1	330308.7	339413	342763.4	324064.8	309595.4	713358.1	684406.6	682623.6	652984.9	656463.7	720115.3	673986.3	312765.4	321816.7	316663.7	310166.8	301728	555688.7	699201.3	580200.6	679977.1	682404.1	736326.3	677855.9	306629.4	307361	320059	304689.7	276595.8	619187.3	660020.9	647349.4	671724.3	672609.3	691929.1	647566.6	318068.3	310178.6	319055.2	311722	292640.4	653512.7	717562	669780.4	717798.6	693491.9	702991.7	724965.6	304289.2	313870.2	314355.4	307591.6	299618.2	789374.1	848918.9	858889.6	885279.9	957700	888337.1	828137	314321.4	320991	325134.3	307104.7	284384.2	827655.6	853488.1	825653.6	871313	921064.1	875684.1	834726.3	310558.2	318003.2	327151.6	321215.7	248570.9	
0.146	528225.3	622968.6	561853	744597.1	807676.1	846455.3	762470.4	335809	321653	330495.2	305376.8	259341.9	606989	656742.4	601875.9	676941.3	709792.4	712571	664590	334458.8	338577.8	342402.7	323267	310760.8	711326.6	684375.6	668858.9	650707.1	658315.7	725903.9	667742	311854.7	315826.3	318458.7	311624.8	297880.7	562201.3	684505.6	576523.7	674715.6	687079.4	729137.9	670550	304015.8	310198.3	312100.4	306729.4	282033.2	618358.1	656909.9	646837.1	668556.7	662808.4	687092.6	651198.1	315735.4	312818.4	318779.3	314057.6	289724.3	656147.7	718874.9	676637	713033	695881.6	699983.9	715766.1	304385.8	307922	318452.4	306839.3	298210.8	791609	849670.6	865448.3	887825.1	958055.6	884139.3	815533.6	313664.7	322143.3	321155.3	304961.4	285030.8	815872.4	858088.9	833252.4	871997.6	920575.9	881500.3	831106.3	304079	313801.4	328493.7	315599.3	243817.9	
0.167	530049.1	622666.4	560158.6	752844.9	798958.1	843431.1	756819	335483.2	322182.2	335427	306871.8	252783.3	615985.3	651385.1	598609.3	677645	704011.6	705065.4	666265.1	333185.8	340254	342467.2	326348	311390.4	697933.1	678258.7	665446.9	647017.3	660249.1	718643.4	666235.7	308248.6	314649.8	321212.8	313770.6	298865.8	552311	680477.9	573690.4	667075.6	684571	725560.3	672372.1	302864.6	310787.3	311696.6	305819	281507.6	625458.4	652615.4	639223.7	674483	667494.3	682163.1	643899	312816.7	307724.4	318610.4	314242.2	288476.3	654515	720025.4	671054	710781.1	693492	706540.7	713130.7	306449.2	312959.8	319024.4	307975.6	299171.6	796756.9	852783.1	861684.6	895202.1	940529.1	884150.1	829995.9	313084.6	322120	323810.4	301137.7	286442.7	823297.6	854220	832333.1	875055.4	921617.7	876216.4	839621	307718.2	307212	324641.3	314326.6	245818.1	
0.186	529539.3	619707.4	562295.4	755216.9	803536	833519.3	762807.3	333274.8	325648.4	326548.8	309865.8	252252	608767.6	660370.3	602135.9	679370.3	711487.7	706466	670710	332062.4	341295.7	349823.3	322816	316716.6	687870.4	682856.4	658728.9	644022.4	660229.9	715625	667465.6	308654.4	321427.6	320646.7	312267	304397.6	557334.9	677410.4	576744.4	669989.9	683343.1	729300.1	669690	303077	308658.8	317946.6	301785.7	278320	619240.9	658004.6	644094.3	670144.9	673227.1	686046.6	644237.9	313421.3	311702	321095.3	313413.8	286955.7	651687.1	721074.1	668861.1	712981.7	702102.6	705681.3	706242.9	305752.4	311215.6	321000	308952.4	299833	789695.3	850771.3	854594.6	890952.1	933157.7	880497.9	817324.7	314219.8	321264	322442.2	305473.2	285913.7	818675	844016.7	831240.6	866956.6	908108.6	873773.9	827097.4	313012	314070.3	329482.3	315367.2	250260.9	
0.206	532168.7	613780.1	560781	755001.1	803243.9	838331.9	760536	333943.2	330771.6	327118.8	311869.3	252847.4	612123.1	651493.6	600755.9	684854.9	704043.6	710354	666139.6	333688.7	337596.8	342695.2	325066.8	307851.8	681456.4	677816.1	660851.6	638585.9	657542.6	715939.7	668236.3	308876.2	320992.3	318901.6	315589.3	302992.4	560654.7	669135.7	577169.1	665381	683668	727690.6	666911.3	307782.7	306970.6	312537	302519.2	276284.8	617481.4	654789.7	646052.4	669961.1	665951.3	690702.4	640815	314958.4	312204.8	319703.4	312412.3	288213.2	653401.9	714903.6	674319	719261.3	689549.7	702896.9	709035.4	309537.8	310127.3	324286.7	308855	298047.2	785442.7	852425.1	858479.7	890397.1	933765	881838.4	830278.6	312700.4	321357.6	327247.7	304113.4	285227.8	821269.3	842342.3	831162.7	868890.6	917307.1	868387.4	837902.4	310361.6	315936.8	330020.7	316353.8	250647.1	
0.227	533625	616986.3	555781.4	750253.4	803085.6	842315.9	762869.7	331846.2	325380	330222.8	306664.8	257307.6	607151.9	653502.3	599447	691727	703690.6	712248.7	658386.9	330573.2	337327.7	342517	323148.7	309426.2	677496	669595.7	639809.7	646055.1	655361.7	706887	669268	312613.6	316333.3	323390.6	311731.4	295074.6	562927.7	658633.9	570162	665316.3	681422.1	729280.7	669545	304612.2	308260.8	313306.7	299390.4	278248.6	613167.7	659075.7	639608.7	660238.6	665884.9	685364.4	649010	313221.7	310940.4	312580.3	310665.8	286396.8	647371.7	707723.9	664984.1	723735	692113.4	698374.6	710755.9	308971.4	314114.4	319221.7	309736.2	295138.4	788207.4	843524.1	853238.7	887855.3	920106.9	889292.7	819741.3	318050	320826.4	319293.8	305485.8	281117	815035.4	850501.1	820550.7	864881.3	923414	871780.3	831764.1	307002.6	310161	329773.8	317412.7	252823.9	
