<HEADER>																																																																																																
Date	2022-11-23																																																																																															
Time	14:12:11																																																																																															
Instrument	Panoptic																																																																																															
ProtocolName	1 Tip_1 Add_20 uL_2 min_New Green																																																																																															
AssayPlateBarcode	HEK_FLUO-8_2																																																																																															
AddPlateBarcode	ACh CHK																																																																																															
Indicator	New Green	Excitation	488	Emission	536(40)	Exposure	50	Gain	100																																																																																							
Binning	4 x 4																																																																																															
NumRows	8																																																																																															
NumCols	12																																																																																															
Operator	b	Greenway	Bryan																																																																																													
Project	Test Project																																																																																															
</HEADER>																																																																																																
<INDICATOR_DATA	Blue	>																																																																																														
Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.352	113739.6	144110.7	148310.1	142137.7	137574.9	125665.3	116985.6	112407.9	115883.3	115541.9	116986.1	118516.9	101616.4	113405.9	134338.4	127257	117626	111946	113750.7	110585.6	112702.3	114901.7	116256	117490.1	96676.14	109267.7	115888	109885.3	105874	104946.3	107574.9	104522	110838.7	112488	119144.6	117347.4	98551.14	103657.7	108849.9	103107.3	96271.43	102407.9	105346.4	109086.4	120929.9	122202.6	128341.1	127718.6	89337.29	101500.9	101062.7	100664	98405.14	104003.4	109245.9	108436.1	111377.4	114573.6	115934.9	115892.7	88591.43	98321.43	100037.1	108846.7	101805.1	103510.4	107611.3	110454	114142.4	118236	119006.1	117474.9	85446	99310.14	100608.4	97157.86	101937.3	104861.9	108456.9	110292.3	124701	128432.9	125417	125603.1	95499.57	99359.71	98991.86	100337.7	108015	105416.6	108821.3	112743.9	114760.4	120800	115562	113204.4
0.469	111641	141626.3	148746.7	142825.1	139205.1	126956.3	115228.4	113092.7	115322	115440.3	116850.7	117162.7	102002.1	113359.3	134781.9	127182.7	118876.7	110577.6	112141.1	109298.4	112871.1	114951.4	116394	117672.9	95151	110185	116321.1	110594.7	106037	103534	107863.7	105545	110933	112538	116433.4	118198.1	98304.71	104639.9	108298.9	103387.1	97782.43	102790.9	106298.3	108926.9	121935.4	124242	126779.4	127631.7	88617	101161	101221.4	99239.43	99413.43	104519.6	106826.4	107134	113357.7	116283.4	116211.1	116456	87117.71	99065	100009.1	107416.6	100845.4	102699.7	107695.7	108503.9	116894.9	118675.4	119358.6	119091.6	84445.14	98913.71	101424	98427.14	100766.3	102971	108170.9	111062.9	123795	128395.7	127398.9	123794.7	95147.57	99939.14	99453	100888.6	106188.9	107728.3	109902.1	111963.1	114881.6	117896.3	116034.4	113617.7
0.64	111343	141908.4	147899.4	143323.1	137761.4	125433.7	115362	111820.1	114816	116134.4	116907.1	119219.1	99915	112234.9	134622.6	125118.4	119846.1	111082.7	112770.9	108326.9	111370.4	114486.3	116974.3	118349.7	98885.57	110844.7	113819.3	109328.3	104517	103630.6	105697.9	106486.7	110966.7	111493.9	118321.4	117381.3	98064.57	103648.9	108878.9	102112.1	97909.14	102937.7	105883	108837.7	120624.6	122313.6	126578.4	126409.1	89387.57	100312	100739.9	100200.9	100381.4	103254.9	107864.7	107272.7	113198.1	114419	116305.9	117021.9	89698.14	97105.14	101031.9	109063.6	100584.9	102827.9	106212.6	109210.3	115805.4	119004.7	116767.7	117875.6	85750.86	97456.29	100432.4	96751.57	100542.7	102135.6	109056.1	110690.3	125218.7	127510.1	124878.7	124144.6	93668.43	99536.86	98394.71	102181	104099	105039.7	108342.9	113798.6	114257.4	118133	114385.9	112129.7
0.858	110406.9	143618.3	147095.3	144682.9	139216	126510.4	117338.1	111811.4	117147.1	116723.7	117499.7	118335.4	101568.4	112177.1	134705.1	126720	116920.3	111155.1	112022.9	108498.3	112050.7	115076.3	116015.1	118706	97312.86	111511	115606.1	111089.3	104891.9	104990.1	106841.4	106022.6	111303	111340.3	118326	118240.3	97420.29	102977.3	108229.3	104034.4	97055.86	102674.3	105057.4	108103.6	121134	123702.1	127477	127171.3	89320.14	102390.3	101411	100318.9	100026.6	102766.9	107347.3	108421.3	112033.1	115507.4	116666	117363.7	87022.43	99300.29	100447.1	108216.7	100138	104409.1	105673.9	108994.4	114751.9	117923.6	118137	118955.1	83849.29	100055.6	100755.3	97396	102624.7	104347.6	108817.7	111147.9	122802.9	129159.9	126405	122105.6	94450.86	98424.43	98208.43	101194.1	105520	105554.4	110492.3	112575.9	115662.9	118179.4	114560.6	114542
