Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
40	1303362	1367396	1332971	1338319	1394026	1409105	1363898	1212259	1354423	1272949	1139852	1073856	1189920	1230125	1271867	1198342	1223620	1314210	1270996	1286357	1398775	1418356	1237879	1165573	1137771	1186986	1228976	1153679	1147469	1216814	1174172	1148556	1203327	1305457	1153640	1049361	1096363	1153819	1195144	1154733	1229504	1275570	1189734	1100874	1125304	1153086	1076729	977012	1077327	1170373	1187130	1168608	1193822	1204104	1159444	1145240	1126470	1159958	1079398	1005148	1163469	1248442	1325144	1203370	1256029	1230989	1197387	1175312	1148945	1211594	1084400	1030194	1222837	1378296	1453877	1329939	1400299	1367864	1261504	1250321	1211837	1269871	1186218	1113755	1239606	1334639	1344757	1314220	1390294	1373937	1257355	1268556	1275400	1360960	1220281	1200084	
60	1289434	1366066	1336857	1335979	1376324	1401186	1368369	1214016	1360235	1271497	1152496	1068721	1188458	1223279	1256112	1197747	1223680	1311159	1266910	1290296	1388841	1405118	1234461	1167877	1154455	1189095	1225065	1157295	1149637	1226149	1172030	1146834	1192842	1299169	1149895	1042698	1101281	1143662	1197481	1163829	1226794	1258510	1185170	1098246	1128939	1151338	1067991	970741.7	1081377	1167540	1185623	1158074	1201403	1197626	1165333	1149202	1115736	1168227	1078991	1010456	1162468	1252734	1317035	1190731	1249192	1237490	1202709	1182470	1141637	1209000	1087250	1035222	1221449	1375781	1458762	1333979	1409789	1375333	1264463	1239956	1217338	1270541	1194425	1114195	1241816	1327617	1353634	1309224	1381214	1375213	1262708	1268036	1277532	1353909	1213121	1200085	
80	1290805	1361454	1336217	1320703	1373760	1391271	1362323	1216087	1355560	1279463	1148754	1065056	1187107	1230733	1263448	1198241	1216528	1302517	1269762	1281873	1387510	1405017	1236832	1164860	1149739	1184443	1224455	1170463	1143598	1229461	1168719	1131460	1196638	1296359	1145286	1046919	1094375	1151633	1181407	1162903	1216345	1255694	1180077	1096642	1123221	1151505	1071577	966997.3	1072210	1162882	1189137	1163731	1201663	1189306	1166362	1150973	1125865	1172637	1077318	1009515	1155401	1255101	1311919	1189830	1248452	1234268	1206649	1185309	1150439	1211591	1085087	1038888	1219786	1375752	1444928	1329015	1398074	1369810	1262350	1245263	1207101	1263401	1188870	1115192	1235865	1326964	1356397	1300901	1385930	1365921	1267366	1261887	1270605	1342675	1220349	1194597	
100	1296886	1369626	1337767	1319208	1374742	1388596	1357097	1212014	1353276	1265445	1159213	1072641	1178704	1230064	1262784	1185139	1216140	1305304	1269177	1276921	1391733	1408776	1223634	1169064	1150590	1184422	1226889	1182259	1149014	1220038	1175891	1137935	1184824	1289787	1139828	1041321	1096540	1141691	1190236	1154089	1211043	1253050	1168003	1102938	1142523	1149827	1082097	968514.7	1069302	1165894	1191825	1153046	1190070	1196427	1167005	1149276	1118598	1171792	1071486	997642	1161625	1252392	1308632	1195775	1252875	1230591	1195007	1184234	1146334	1198465	1086772	1034917	1230448	1380375	1457823	1321864	1394033	1369041	1259056	1228293	1205022	1254147	1183574	1111328	1234782	1327611	1350929	1308561	1383358	1358499	1283598	1259639	1266593	1349048	1213725	1193124	
120	1294699	1361758	1330611	1322937	1362772	1386315	1355602	1198750	1351531	1270762	1149972	1072020	1178511	1237538	1259732	1183822	1216982	1302687	1264289	1277437	1392383	1403372	1228974	1159433	1149493	1175827	1224234	1185314	1138232	1223805	1166247	1137591	1195542	1285203	1130901	1038374	1089099	1150330	1187143	1149289	1205896	1257587	1170783	1093643	1148316	1135815	1074443	969385.4	1063152	1164637	1200590	1147955	1203147	1188348	1164366	1140921	1117205	1170145	1076937	1006068	1158830	1256742	1304172	1188491	1231423	1226671	1200488	1177591	1141448	1204725	1079748	1036372	1228218	1376564	1450435	1323248	1388881	1356843	1285407	1233619	1219658	1264725	1182007	1111557	1223747	1328621	1350222	1309893	1385408	1356522	1286751	1254971	1262473	1351825	1221520	1188384	
140	1286560	1366505	1336031	1314482	1364533	1388406	1362416	1212623	1351640	1265376	1140507	1068649	1178283	1231188	1261788	1186705	1195610	1291779	1269851	1266839	1385206	1403476	1225350	1159152	1136988	1182593	1215973	1170568	1138786	1216828	1166359	1139081	1178823	1275753	1133323	1043723	1092269	1135281	1179271	1150284	1198522	1245901	1165158	1087339	1162343	1145794	1066867	962865.1	1070281	1158796	1202085	1148872	1195189	1192257	1176000	1145218	1107019	1162768	1074069	1014297	1161016	1258347	1306485	1181223	1239127	1225890	1191618	1179291	1150036	1212334	1081881	1027015	1231075	1371771	1449101	1318593	1386036	1360408	1314951	1230095	1208538	1263226	1178732	1107216	1228612	1324034	1362709	1304904	1371505	1344028	1285877	1258222	1267125	1348738	1208493	1185933	
160	1292609	1360443	1341076	1310195	1345743	1377559	1353521	1210355	1349798	1258151	1148475	1071892	1183688	1245962	1264237	1176985	1214058	1283692	1274056	1272075	1384957	1399898	1219407	1164413	1144334	1184775	1214357	1179210	1124014	1214084	1176595	1142415	1190483	1278873	1123304	1041841	1086083	1144599	1177799	1143333	1195402	1249181	1165843	1090092	1155187	1132266	1064027	959976.3	1070947	1166505	1196608	1139688	1181691	1192485	1165915	1140024	1113620	1167597	1073016	1007898	1168954	1259711	1301181	1187379	1233647	1222091	1197333	1172379	1136950	1207654	1085297	1033849	1228873	1367829	1448926	1322189	1377346	1363094	1314074	1226042	1212263	1259693	1173860	1105458	1228587	1328140	1353662	1292110	1388163	1339950	1277919	1254343	1268537	1340122	1210822	1185548	
181	1291324	1352326	1327198	1310153	1350038	1385497	1352159	1216837	1350605	1272365	1143724	1068681	1177210	1238176	1265017	1175577	1205931	1282526	1262680	1269930	1380561	1412696	1218104	1158800	1134227	1179362	1210247	1171376	1133353	1206531	1163977	1125005	1182202	1277433	1121480	1041233	1096189	1140195	1181538	1147347	1186560	1245080	1163430	1087394	1156019	1128022	1070521	957481.4	1072889	1155896	1197425	1140908	1188530	1178799	1158740	1147345	1108898	1157778	1064541	999210.6	1158207	1257645	1294453	1181836	1221145	1226569	1197337	1177291	1131908	1203775	1078893	1036120	1219903	1357226	1441556	1316021	1379153	1346982	1302908	1226421	1211956	1242406	1174055	1100576	1226547	1331059	1361441	1289689	1408822	1341577	1285615	1258178	1267630	1350193	1205251	1186278	
201	1287763	1350952	1326970	1304007	1342505	1381978	1358420	1216225	1354423	1263958	1143254	1066647	1174084	1239740	1264269	1178012	1199838	1270550	1261295	1261668	1365688	1418603	1222081	1158828	1128328	1177281	1210089	1170466	1135310	1203941	1164017	1127192	1187271	1269196	1109201	1043096	1084775	1141914	1169161	1132571	1187151	1245005	1161722	1083847	1149094	1139299	1072207	960942.7	1068403	1159275	1204689	1138375	1179327	1183652	1162734	1139654	1112127	1148783	1068603	1003365	1163105	1259106	1295577	1190632	1220020	1223460	1196415	1170383	1139581	1205716	1081840	1031302	1221108	1351488	1444846	1318214	1370556	1349545	1304568	1229410	1203903	1255060	1167871	1104294	1223527	1326060	1359678	1277612	1425068	1333213	1281255	1254132	1255954	1346952	1207808	1189523	
222	1287384	1358299	1325047	1290351	1342528	1381873	1356659	1215170	1349047	1266186	1136565	1074532	1178307	1239737	1276044	1177745	1210798	1284292	1270417	1255669	1366756	1427927	1215341	1156996	1133603	1178813	1206865	1166724	1128236	1201217	1152495	1134911	1185095	1268622	1124116	1043107	1090607	1145055	1182242	1136748	1188669	1242711	1169572	1085510	1148870	1131766	1064219	968902.4	1066375	1157346	1210961	1141115	1178013	1180093	1162951	1143521	1107430	1153437	1055940	1007600	1156572	1260076	1298413	1180237	1214806	1233217	1198060	1165346	1135141	1194834	1072360	1035069	1223578	1355172	1434961	1319796	1373383	1345632	1300362	1224479	1211034	1250687	1170945	1113625	1226100	1338473	1358330	1279338	1422800	1331910	1269782	1249711	1256680	1348071	1208790	1190663	
